Event,Date,Day,Begin,End,Room,Type
Jazzercise,1/2/2018,Tu,8:30:00 AM,10:30:00 AM,Gym,Outside Group
Jazzercise,1/2/2018,Tu,4:15:00 PM,5:30:00 PM,Gym,Outside Group
Jazzercise,1/2/2018,Tu,5:45:00 PM,7:00:00 PM,Gym,Outside Group
Jazzercise,1/3/2018,We,8:30:00 AM,10:30:00 AM,Gym,Outside Group
Jazzercise,1/3/2018,We,5:45:00 PM,7:00:00 PM,Gym,Outside Group
Jazzercise,1/4/2018,Th,9:00:00 AM,10:00:00 AM,Gym,Outside Group
Jazzercise,1/4/2018,Th,5:45:00 PM,6:45:00 PM,Gym,Outside Group
Jazzercise,1/5/2018,Fr,8:30:00 AM,10:30:00 AM,Gym,Outside Group
Jazzercise,1/6/2018,Sa,8:30:00 AM,10:30:00 AM,Gym,Outside Group
RPC - Worship,1/7/2018,Su,8:30:00 AM,9:45:00 AM,Gym,Worship Service
Sunday School,1/7/2018,Su,9:30:00 AM,10:30:00 AM,Whole Building,Sunday School
Worship Service,1/7/2018,Su,10:45:00 AM,12:15:00 PM,Sanctuary,Worship Service
Jazzercise,1/7/2018,Su,3:30:00 PM,5:00:00 PM,Gym,Outside Group
Jazzercise,1/8/2018,Mo,8:30:00 AM,10:30:00 AM,Gym,Outside Group
Jazzercise,1/8/2018,Mo,4:15:00 PM,5:30:00 PM,Gym,Outside Group
Jazzercise,1/8/2018,Mo,5:45:00 PM,7:00:00 PM,Gym,Outside Group
Classical Conversations,1/9/2018,Tu,8:00:00 AM,4:00:00 PM,Whole Building,Home School
Jazzercise,1/9/2018,Tu,8:30:00 AM,10:30:00 AM,Gym,Outside Group
West Circle Meeting,1/9/2018,Tu,11:00:00 AM,1:30:00 PM,Keene Room,CPWM Circle Meeting
Jazzercise,1/9/2018,Tu,4:15:00 PM,5:30:00 PM,Gym,Outside Group
Jazzercise,1/9/2018,Tu,5:45:00 PM,7:00:00 PM,Gym,Outside Group
Jazzercise,1/10/2018,We,8:30:00 AM,10:30:00 AM,Gym,Outside Group
Jazzercise,1/10/2018,We,5:45:00 PM,7:00:00 PM,Gym,Outside Group
Choir Practice,1/10/2018,We,6:30:00 PM,8:00:00 PM,Choir Room,Choir Practice
Thursday Connection,1/11/2018,Th,8:00:00 AM,5:00:00 PM,Whole Building,Home School
Jazzercise,1/11/2018,Th,9:00:00 AM,10:00:00 AM,Gym,Outside Group
Jazzercise,1/11/2018,Th,5:45:00 PM,6:45:00 PM,Gym,Outside Group
Friendship Club P.M. Edition Dinner,1/11/2018,Th,6:30:00 PM,7:30:00 PM,Off Site Activity,Friendship Club Event
Jazzercise,1/12/2018,Fr,8:30:00 AM,10:30:00 AM,Gym,Outside Group
Youth Convocation,1/12/2018,Fr,6:00:00 PM,11:45:00 PM,Off Site Activity,Youth Group Activity
Youth Convocation,1/13/2018,Sa,12:00:00 AM,11:45:00 PM,Off Site Activity,Youth Group Activity
Jazzercise,1/13/2018,Sa,8:30:00 AM,10:30:00 AM,Gym,Outside Group
Youth Convocation,1/14/2018,Su,12:00:00 AM,11:45:00 PM,Off Site Activity,Youth Group Activity
RPC - Worship,1/14/2018,Su,8:30:00 AM,9:45:00 AM,Gym,Worship Service
Sunday School,1/14/2018,Su,9:30:00 AM,10:30:00 AM,Whole Building,Sunday School
Worship Service,1/14/2018,Su,10:45:00 AM,12:15:00 PM,Sanctuary,Worship Service
Jazzercise,1/14/2018,Su,2:30:00 PM,4:00:00 PM,Gym,Outside Group
Youth Convocation,1/15/2018,Mo,12:00:00 AM,11:00:00 AM,Off Site Activity,Youth Group Activity
Jazzercise,1/15/2018,Mo,8:30:00 AM,10:30:00 AM,Gym,Outside Group
Jazzercise,1/15/2018,Mo,4:15:00 PM,5:30:00 PM,Gym,Outside Group
Jazzercise,1/15/2018,Mo,5:45:00 PM,7:00:00 PM,Gym,Outside Group
Bible Study,1/15/2018,Mo,6:30:00 PM,8:00:00 PM,Keene Room,Bible Study
Classical Conversations,1/16/2018,Tu,8:00:00 AM,4:00:00 PM,Whole Building,Home School
Jazzercise,1/16/2018,Tu,8:30:00 AM,10:30:00 AM,Gym,Outside Group
Jazzercise,1/16/2018,Tu,4:15:00 PM,5:30:00 PM,Gym,Outside Group
Jazzercise,1/16/2018,Tu,5:45:00 PM,7:00:00 PM,Gym,Outside Group
Jazzercise,1/17/2018,We,8:30:00 AM,10:30:00 AM,Gym,Outside Group
Jazzercise,1/17/2018,We,5:45:00 PM,7:00:00 PM,Gym,Outside Group
Choir Practice,1/17/2018,We,6:30:00 PM,8:00:00 PM,Choir Room,Choir Practice
Thursday Connection,1/18/2018,Th,8:00:00 AM,5:00:00 PM,Whole Building,Home School
Jazzercise,1/18/2018,Th,9:00:00 AM,10:00:00 AM,Gym,Outside Group
Jazzercise,1/18/2018,Th,5:45:00 PM,6:45:00 PM,Gym,Outside Group
Jazzercise,1/19/2018,Fr,8:30:00 AM,10:30:00 AM,Gym,Outside Group
Alicia Garst - ACT Prep,1/19/2018,Fr,9:30:00 AM,1:00:00 PM,Room #26,Outside Group
Jazzercise,1/20/2018,Sa,8:30:00 AM,10:30:00 AM,Gym,Outside Group
RPC - Worship,1/21/2018,Su,8:30:00 AM,9:45:00 AM,Gym,Worship Service
Sunday School,1/21/2018,Su,9:30:00 AM,10:30:00 AM,Whole Building,Sunday School
Worship Service,1/21/2018,Su,10:45:00 AM,12:15:00 PM,Sanctuary,Worship Service
Congregational Meeting ~ Elder Election,1/21/2018,Su,12:30:00 PM,12:45:00 PM,Sanctuary,Congregational Meeting
Jazzercise,1/21/2018,Su,3:30:00 PM,5:00:00 PM,Gym,Outside Group
Jazzercise,1/22/2018,Mo,8:30:00 AM,10:30:00 AM,Gym,Outside Group
Jazzercise,1/22/2018,Mo,4:15:00 PM,5:30:00 PM,Gym,Outside Group
Jazzercise,1/22/2018,Mo,5:45:00 PM,7:00:00 PM,Gym,Outside Group
Bible Study,1/22/2018,Mo,6:30:00 PM,8:00:00 PM,Keene Room,Bible Study
Classical Conversations,1/23/2018,Tu,8:00:00 AM,4:00:00 PM,Whole Building,Home School
Jazzercise,1/23/2018,Tu,8:30:00 AM,10:30:00 AM,Gym,Outside Group
Jazzercise,1/23/2018,Tu,4:15:00 PM,5:30:00 PM,Gym,Outside Group
Jazzercise,1/23/2018,Tu,5:45:00 PM,7:00:00 PM,Gym,Outside Group
Jazzercise,1/24/2018,We,8:30:00 AM,10:30:00 AM,Gym,Outside Group
Friendship Club ,1/24/2018,We,11:00:00 AM,1:00:00 PM,Off Site Activity,Friendship Club Event
Jazzercise,1/24/2018,We,5:45:00 PM,7:00:00 PM,Gym,Outside Group
Choir Practice,1/24/2018,We,6:30:00 PM,8:00:00 PM,Choir Room,Choir Practice
Thursday Connection,1/25/2018,Th,8:00:00 AM,5:00:00 PM,Whole Building,Home School
Jazzercise,1/25/2018,Th,9:00:00 AM,10:00:00 AM,Gym,Outside Group
Jazzercise,1/25/2018,Th,5:45:00 PM,6:45:00 PM,Gym,Outside Group
Jazzercise,1/26/2018,Fr,8:30:00 AM,10:30:00 AM,Gym,Outside Group
Jazzercise,1/27/2018,Sa,8:30:00 AM,10:30:00 AM,Gym,Outside Group
RPC - Worship,1/28/2018,Su,8:30:00 AM,9:45:00 AM,Gym,Worship Service
Sunday School,1/28/2018,Su,9:30:00 AM,10:30:00 AM,Whole Building,Sunday School
Worship Service,1/28/2018,Su,10:45:00 AM,12:15:00 PM,Sanctuary,Worship Service
Jazzercise,1/28/2018,Su,3:30:00 PM,5:00:00 PM,Gym,Outside Group
Demonination Day~Fairview CP,1/28/2018,Su,3:30:00 PM,7:00:00 PM,Off Site Activity,Demomination Meeting
Session Meeting,1/28/2018,Su,6:00:00 PM,8:00:00 PM,Keene Room,Session Meeting
Jazzercise,1/29/2018,Mo,8:30:00 AM,10:30:00 AM,Gym,Outside Group
Jazzercise,1/29/2018,Mo,4:15:00 PM,5:30:00 PM,Gym,Outside Group
Jazzercise,1/29/2018,Mo,5:45:00 PM,7:00:00 PM,Gym,Outside Group
Bible Study,1/29/2018,Mo,6:30:00 PM,8:00:00 PM,Keene Room,Bible Study
Classical Conversations,1/30/2018,Tu,8:00:00 AM,4:00:00 PM,Whole Building,Home School
Jazzercise,1/30/2018,Tu,8:30:00 AM,10:30:00 AM,Gym,Outside Group
Jazzercise,1/30/2018,Tu,4:15:00 PM,5:30:00 PM,Gym,Outside Group
Jazzercise,1/30/2018,Tu,5:45:00 PM,7:00:00 PM,Gym,Outside Group
Jazzercise,1/31/2018,We,8:30:00 AM,10:30:00 AM,Gym,Outside Group
Jazzercise,1/31/2018,We,5:45:00 PM,7:00:00 PM,Gym,Outside Group
Choir Practice,1/31/2018,We,6:30:00 PM,8:00:00 PM,Choir Room,Choir Practice
Thursday Connection,2/1/2018,Th,8:00:00 AM,5:00:00 PM,Whole Building,Home School
Jazzercise,2/1/2018,Th,9:00:00 AM,10:00:00 AM,Gym,Outside Group
Jazzercise,2/1/2018,Th,5:45:00 PM,6:45:00 PM,Gym,Outside Group
Friendship Club P.M. Edition Dinner,2/1/2018,Th,6:30:00 PM,7:30:00 PM,Off Site Activity,Friendship Club Event
Jazzercise,2/2/2018,Fr,8:30:00 AM,10:30:00 AM,Gym,Outside Group
TC - Winter Thaw,2/2/2018,Fr,4:00:00 PM,11:00:00 PM,Gym,Home School
Jazzercise,2/3/2018,Sa,8:30:00 AM,10:30:00 AM,Gym,Outside Group
RPC - Worship,2/4/2018,Su,8:30:00 AM,9:45:00 AM,Gym,Worship Service
Sunday School,2/4/2018,Su,9:30:00 AM,10:30:00 AM,Whole Building,Sunday School
Worship Service~Scout Sunday,2/4/2018,Su,10:45:00 AM,12:15:00 PM,Sanctuary,Worship Service
Jazzercise,2/4/2018,Su,3:30:00 PM,5:00:00 PM,Gym,Outside Group
Jazzercise,2/5/2018,Mo,8:30:00 AM,10:30:00 AM,Gym,Outside Group
Jazzercise,2/5/2018,Mo,4:15:00 PM,5:30:00 PM,Gym,Outside Group
Jazzercise,2/5/2018,Mo,5:45:00 PM,7:00:00 PM,Gym,Outside Group
Bible Study,2/5/2018,Mo,6:30:00 PM,8:00:00 PM,Keene Room,Bible Study
Jazzercise,2/6/2018,Tu,8:30:00 AM,10:30:00 AM,Gym,Outside Group
West Circle Meeting,2/6/2018,Tu,11:00:00 AM,1:30:00 PM,Keene Room,CPWM Circle Meeting
Jazzercise,2/6/2018,Tu,4:15:00 PM,5:30:00 PM,Gym,Outside Group
Jazzercise,2/6/2018,Tu,5:45:00 PM,7:00:00 PM,Gym,Outside Group
Jazzercise,2/7/2018,We,8:30:00 AM,10:30:00 AM,Gym,Outside Group
Jazzercise,2/7/2018,We,5:45:00 PM,7:00:00 PM,Gym,Outside Group
Choir Practice,2/7/2018,We,6:30:00 PM,8:00:00 PM,Choir Room,Choir Practice
Thursday Connection,2/8/2018,Th,8:00:00 AM,5:00:00 PM,Whole Building,Home School
Jazzercise,2/8/2018,Th,9:00:00 AM,10:00:00 AM,Gym,Outside Group
Jazzercise,2/8/2018,Th,5:45:00 PM,6:45:00 PM,Gym,Outside Group
Jazzercise,2/9/2018,Fr,8:30:00 AM,10:30:00 AM,Gym,Outside Group
Jazzercise,2/10/2018,Sa,8:30:00 AM,10:30:00 AM,Gym,Outside Group
RPC - Worship,2/11/2018,Su,8:30:00 AM,9:45:00 AM,Gym,Worship Service
Sunday School,2/11/2018,Su,9:30:00 AM,10:30:00 AM,Whole Building,Sunday School
Worship Service,2/11/2018,Su,10:45:00 AM,12:15:00 PM,Sanctuary,Worship Service
Jazzercise,2/11/2018,Su,3:30:00 PM,5:00:00 PM,Gym,Outside Group
Jazzercise,2/12/2018,Mo,8:30:00 AM,10:30:00 AM,Gym,Outside Group
Jazzercise,2/12/2018,Mo,4:15:00 PM,5:30:00 PM,Gym,Outside Group
Jazzercise,2/12/2018,Mo,5:45:00 PM,7:00:00 PM,Gym,Outside Group
Bible Study,2/12/2018,Mo,6:30:00 PM,8:00:00 PM,Keene Room,Bible Study
Classical Conversations,2/13/2018,Tu,8:00:00 AM,4:00:00 PM,Whole Building,Home School
Jazzercise,2/13/2018,Tu,8:30:00 AM,10:30:00 AM,Gym,Outside Group
Jazzercise,2/13/2018,Tu,4:15:00 PM,5:30:00 PM,Gym,Outside Group
Classical Conversations~Windows Into Challange,2/13/2018,Tu,5:30:00 PM,8:30:00 PM,Sanctuary,Home School
Jazzercise,2/13/2018,Tu,5:45:00 PM,7:00:00 PM,Gym,Outside Group
Jazzercise,2/14/2018,We,8:30:00 AM,10:30:00 AM,Gym,Outside Group
Jazzercise,2/14/2018,We,5:45:00 PM,7:00:00 PM,Gym,Outside Group
Choir Practice,2/14/2018,We,6:30:00 PM,8:00:00 PM,Choir Room,Choir Practice
Thursday Connection,2/15/2018,Th,8:00:00 AM,5:00:00 PM,Whole Building,Home School
Jazzercise,2/15/2018,Th,9:00:00 AM,10:00:00 AM,Gym,Outside Group
Jazzercise,2/15/2018,Th,5:45:00 PM,6:45:00 PM,Gym,Outside Group
Jazzercise,2/16/2018,Fr,8:30:00 AM,10:30:00 AM,Gym,Outside Group
Jazzercise,2/17/2018,Sa,8:30:00 AM,10:30:00 AM,Gym,Outside Group
RPC - Worship,2/18/2018,Su,8:30:00 AM,9:45:00 AM,Gym,Worship Service
Sunday School,2/18/2018,Su,9:30:00 AM,10:30:00 AM,Whole Building,Sunday School
Worship Service,2/18/2018,Su,10:45:00 AM,12:15:00 PM,Sanctuary,Worship Service
Jazzercise,2/18/2018,Su,3:30:00 PM,5:00:00 PM,Gym,Outside Group
Jazzercise,2/19/2018,Mo,8:30:00 AM,10:30:00 AM,Gym,Outside Group
Jazzercise,2/19/2018,Mo,4:15:00 PM,5:30:00 PM,Gym,Outside Group
Jazzercise,2/19/2018,Mo,5:45:00 PM,7:00:00 PM,Gym,Outside Group
Bible Study,2/19/2018,Mo,6:30:00 PM,8:00:00 PM,Keene Room,Bible Study
Classical Conversations,2/20/2018,Tu,8:00:00 AM,4:00:00 PM,Whole Building,Home School
Jazzercise,2/20/2018,Tu,8:30:00 AM,10:30:00 AM,Gym,Outside Group
Jazzercise,2/20/2018,Tu,4:15:00 PM,5:30:00 PM,Gym,Outside Group
Jazzercise,2/20/2018,Tu,5:45:00 PM,7:00:00 PM,Gym,Outside Group
Jazzercise,2/21/2018,We,8:30:00 AM,10:30:00 AM,Gym,Outside Group
Jazzercise,2/21/2018,We,5:45:00 PM,7:00:00 PM,Gym,Outside Group
Choir Practice,2/21/2018,We,6:30:00 PM,8:00:00 PM,Choir Room,Choir Practice
Thursday Connection,2/22/2018,Th,8:00:00 AM,5:00:00 PM,Whole Building,Home School
Jazzercise,2/22/2018,Th,9:00:00 AM,10:00:00 AM,Gym,Outside Group
Jazzercise,2/22/2018,Th,5:45:00 PM,6:45:00 PM,Gym,Outside Group
SMHEA Graduation Team,2/22/2018,Th,7:00:00 PM,9:00:00 PM,McDonald Chapel,Home School
Jazzercise,2/23/2018,Fr,8:30:00 AM,10:30:00 AM,Gym,Outside Group
Jazzercise,2/24/2018,Sa,8:30:00 AM,10:30:00 AM,Gym,Outside Group
RPC - Worship,2/25/2018,Su,8:30:00 AM,9:45:00 AM,Gym,Worship Service
Sunday School,2/25/2018,Su,9:30:00 AM,10:30:00 AM,Whole Building,Sunday School
Worship Service,2/25/2018,Su,10:45:00 AM,12:15:00 PM,Sanctuary,Worship Service
Jazzercise,2/25/2018,Su,3:30:00 PM,5:00:00 PM,Gym,Outside Group
Session Meeting,2/25/2018,Su,6:00:00 PM,8:00:00 PM,Keene Room,Session Meeting
Jazzercise,2/26/2018,Mo,8:30:00 AM,10:30:00 AM,Gym,Outside Group
Jazzercise,2/26/2018,Mo,4:15:00 PM,5:30:00 PM,Gym,Outside Group
Jazzercise,2/26/2018,Mo,5:45:00 PM,7:00:00 PM,Gym,Outside Group
Bible Study,2/26/2018,Mo,6:30:00 PM,8:00:00 PM,Keene Room,Bible Study
Classical Conversations,2/27/2018,Tu,8:00:00 AM,4:00:00 PM,Whole Building,Home School
Jazzercise,2/27/2018,Tu,8:30:00 AM,10:30:00 AM,Gym,Outside Group
Jazzercise,2/27/2018,Tu,4:15:00 PM,5:30:00 PM,Gym,Outside Group
Jazzercise,2/27/2018,Tu,5:45:00 PM,7:00:00 PM,Gym,Outside Group
Jazzercise,2/28/2018,We,8:30:00 AM,10:30:00 AM,Gym,Outside Group
Jazzercise,2/28/2018,We,5:45:00 PM,7:00:00 PM,Gym,Outside Group
Choir Practice,2/28/2018,We,6:30:00 PM,8:00:00 PM,Choir Room,Choir Practice
"""Thursday Connection""",3/1/2018,Th,8:00:00 AM,5:00:00 PM,Whole Building,Home School
Jazzercise,3/1/2018,Th,9:00:00 AM,10:00:00 AM,Gym,Outside Group
Jazzercise,3/1/2018,Th,5:45:00 PM,6:45:00 PM,Gym,Outside Group
Jazzercise,3/2/2018,Fr,8:30:00 AM,10:30:00 AM,Gym,Outside Group
Jazzercise,3/3/2018,Sa,8:30:00 AM,10:30:00 AM,Gym,Outside Group
RPC - Worship,3/4/2018,Su,8:30:00 AM,9:45:00 AM,Gym,Worship Service
Sunday School,3/4/2018,Su,9:30:00 AM,10:30:00 AM,Whole Building,Sunday School
Worship Service,3/4/2018,Su,10:45:00 AM,12:15:00 PM,Sanctuary,Worship Service
Jazzercise,3/4/2018,Su,3:30:00 PM,5:00:00 PM,Gym,Outside Group
Jazzercise,3/5/2018,Mo,8:30:00 AM,10:30:00 AM,Gym,Outside Group
Jazzercise,3/5/2018,Mo,4:15:00 PM,5:30:00 PM,Gym,Outside Group
Jazzercise,3/5/2018,Mo,5:45:00 PM,7:00:00 PM,Gym,Outside Group
Bible Study,3/5/2018,Mo,6:30:00 PM,8:00:00 PM,Keene Room,Bible Study
Classical Conversations,3/6/2018,Tu,8:00:00 AM,4:00:00 PM,Whole Building,Home School
Jazzercise,3/6/2018,Tu,8:30:00 AM,10:30:00 AM,Gym,Outside Group
West Circle Meeting,3/6/2018,Tu,11:00:00 AM,1:30:00 PM,Keene Room,CPWM Circle Meeting
Jazzercise,3/6/2018,Tu,4:15:00 PM,5:30:00 PM,Gym,Outside Group
Jazzercise,3/6/2018,Tu,5:45:00 PM,7:00:00 PM,Gym,Outside Group
Jazzercise,3/7/2018,We,8:30:00 AM,10:30:00 AM,Gym,Outside Group
Jazzercise,3/7/2018,We,5:45:00 PM,7:00:00 PM,Gym,Outside Group
Choir Practice,3/7/2018,We,6:30:00 PM,8:00:00 PM,Choir Room,Choir Practice
Thursday Connection,3/8/2018,Th,8:00:00 AM,5:00:00 PM,Whole Building,Home School
Jazzercise,3/8/2018,Th,9:00:00 AM,10:00:00 AM,Gym,Outside Group
Jazzercise,3/8/2018,Th,5:45:00 PM,6:45:00 PM,Gym,Outside Group
Jazzercise,3/9/2018,Fr,8:30:00 AM,10:30:00 AM,Gym,Outside Group
Jazzercise,3/10/2018,Sa,8:30:00 AM,10:30:00 AM,Gym,Outside Group
RPC - Worship,3/11/2018,Su,8:30:00 AM,9:45:00 AM,Gym,Worship Service
Sunday School,3/11/2018,Su,9:30:00 AM,10:30:00 AM,Whole Building,Sunday School
Worship Service,3/11/2018,Su,10:45:00 AM,12:15:00 PM,Sanctuary,Worship Service
Jazzercise,3/11/2018,Su,3:30:00 PM,5:00:00 PM,Gym,Outside Group
Jazzercise,3/12/2018,Mo,8:30:00 AM,10:30:00 AM,Gym,Outside Group
Jazzercise,3/12/2018,Mo,4:15:00 PM,5:30:00 PM,Gym,Outside Group
Jazzercise,3/12/2018,Mo,5:45:00 PM,7:00:00 PM,Gym,Outside Group
Bible Study,3/12/2018,Mo,6:30:00 PM,8:00:00 PM,Keene Room,Bible Study
Jazzercise,3/13/2018,Tu,8:30:00 AM,10:30:00 AM,Gym,Outside Group
Jazzercise,3/13/2018,Tu,4:15:00 PM,5:30:00 PM,Gym,Outside Group
Jazzercise,3/13/2018,Tu,5:45:00 PM,7:00:00 PM,Gym,Outside Group
Jazzercise,3/14/2018,We,8:30:00 AM,10:30:00 AM,Gym,Outside Group
Jazzercise,3/14/2018,We,5:45:00 PM,7:00:00 PM,Gym,Outside Group
Choir Practice,3/14/2018,We,6:30:00 PM,8:00:00 PM,Choir Room,Choir Practice
Thursday Connection,3/15/2018,Th,8:00:00 AM,5:00:00 PM,Whole Building,Home School
Jazzercise,3/15/2018,Th,9:00:00 AM,10:00:00 AM,Gym,Outside Group
Jazzercise,3/15/2018,Th,5:45:00 PM,6:45:00 PM,Gym,Outside Group
Jazzercise,3/16/2018,Fr,8:30:00 AM,10:30:00 AM,Gym,Outside Group
Jazzercise,3/17/2018,Sa,8:30:00 AM,10:30:00 AM,Gym,Outside Group
RPC - Worship,3/18/2018,Su,8:30:00 AM,9:45:00 AM,Gym,Worship Service
Sunday School,3/18/2018,Su,9:30:00 AM,10:30:00 AM,Whole Building,Sunday School
Worship Service,3/18/2018,Su,10:45:00 AM,12:15:00 PM,Sanctuary,Worship Service
Jazzercise,3/18/2018,Su,3:30:00 PM,5:00:00 PM,Gym,Outside Group
Jazzercise,3/19/2018,Mo,8:30:00 AM,10:30:00 AM,Gym,Outside Group
Jazzercise,3/19/2018,Mo,4:15:00 PM,5:30:00 PM,Gym,Outside Group
Jazzercise,3/19/2018,Mo,5:45:00 PM,7:00:00 PM,Gym,Outside Group
Bible Study,3/19/2018,Mo,6:30:00 PM,8:00:00 PM,Keene Room,Bible Study
Classical Conversations,3/20/2018,Tu,8:00:00 AM,4:00:00 PM,Whole Building,Home School
Jazzercise,3/20/2018,Tu,8:30:00 AM,10:30:00 AM,Gym,Outside Group
Jazzercise,3/20/2018,Tu,4:15:00 PM,5:30:00 PM,Gym,Outside Group
Jazzercise,3/20/2018,Tu,5:45:00 PM,7:00:00 PM,Gym,Outside Group
Jazzercise,3/21/2018,We,8:30:00 AM,10:30:00 AM,Gym,Outside Group
Jazzercise,3/21/2018,We,5:45:00 PM,7:00:00 PM,Gym,Outside Group
Choir Practice,3/21/2018,We,6:30:00 PM,8:00:00 PM,Choir Room,Choir Practice
Thursday Connection,3/22/2018,Th,8:00:00 AM,5:00:00 PM,Whole Building,Home School
Jazzercise,3/22/2018,Th,9:00:00 AM,10:00:00 AM,Gym,Outside Group
Jazzercise,3/22/2018,Th,5:45:00 PM,6:45:00 PM,Gym,Outside Group
SMHEA Graduation Team,3/22/2018,Th,7:00:00 PM,9:00:00 PM,McDonald Chapel,Home School
Jazzercise,3/23/2018,Fr,8:30:00 AM,10:30:00 AM,Gym,Outside Group
Jazzercise,3/24/2018,Sa,8:30:00 AM,10:30:00 AM,Gym,Outside Group
RPC - Worship,3/25/2018,Su,8:30:00 AM,9:45:00 AM,Gym,Worship Service
Sunday School,3/25/2018,Su,9:30:00 AM,10:30:00 AM,Whole Building,Sunday School
Worship Service,3/25/2018,Su,10:45:00 AM,12:15:00 PM,Sanctuary,Worship Service
Jazzercise,3/25/2018,Su,3:30:00 PM,5:00:00 PM,Gym,Outside Group
Session Meeting,3/25/2018,Su,6:00:00 PM,8:00:00 PM,Keene Room,Session Meeting
Jazzercise,3/26/2018,Mo,8:30:00 AM,10:30:00 AM,Gym,Outside Group
Jazzercise,3/26/2018,Mo,4:15:00 PM,5:30:00 PM,Gym,Outside Group
Jazzercise,3/26/2018,Mo,5:45:00 PM,7:00:00 PM,Gym,Outside Group
Bible Study,3/26/2018,Mo,6:30:00 PM,8:00:00 PM,Keene Room,Bible Study
Classical Conversations,3/27/2018,Tu,8:00:00 AM,4:00:00 PM,Whole Building,Home School
Jazzercise,3/27/2018,Tu,8:30:00 AM,10:30:00 AM,Gym,Outside Group
Jazzercise,3/27/2018,Tu,4:15:00 PM,5:30:00 PM,Gym,Outside Group
Jazzercise,3/27/2018,Tu,5:45:00 PM,7:00:00 PM,Gym,Outside Group
Jazzercise,3/28/2018,We,8:30:00 AM,10:30:00 AM,Gym,Outside Group
Jazzercise,3/28/2018,We,5:45:00 PM,7:00:00 PM,Gym,Outside Group
Choir Practice,3/28/2018,We,6:30:00 PM,8:00:00 PM,Choir Room,Choir Practice
Thursday Connection,3/29/2018,Th,8:00:00 AM,5:00:00 PM,Whole Building,Home School
Jazzercise,3/29/2018,Th,9:00:00 AM,10:00:00 AM,Gym,Outside Group
Jazzercise,3/29/2018,Th,5:45:00 PM,6:45:00 PM,Gym,Outside Group
Jazzercise,3/30/2018,Fr,8:30:00 AM,10:30:00 AM,Gym,Outside Group
Jazzercise,3/31/2018,Sa,8:30:00 AM,10:30:00 AM,Gym,Outside Group
RPC - Worship,4/1/2018,Su,8:30:00 AM,9:45:00 AM,Gym,Worship Service
Sunday School,4/1/2018,Su,9:30:00 AM,10:30:00 AM,Whole Building,Sunday School
Worship Service,4/1/2018,Su,10:45:00 AM,12:15:00 PM,Sanctuary,Worship Service
Jazzercise,4/1/2018,Su,3:30:00 PM,5:00:00 PM,Gym,Outside Group
Jazzercise,4/2/2018,Mo,8:30:00 AM,10:30:00 AM,Gym,Outside Group
Jazzercise,4/2/2018,Mo,4:15:00 PM,5:30:00 PM,Gym,Outside Group
Jazzercise,4/2/2018,Mo,5:45:00 PM,7:00:00 PM,Gym,Outside Group
Bible Study,4/2/2018,Mo,6:30:00 PM,8:00:00 PM,Keene Room,Bible Study
Classical Conversations,4/3/2018,Tu,8:00:00 AM,4:00:00 PM,Whole Building,Home School
Jazzercise,4/3/2018,Tu,8:30:00 AM,10:30:00 AM,Gym,Outside Group
West Circle Meeting,4/3/2018,Tu,11:00:00 AM,1:30:00 PM,Keene Room,CPWM Circle Meeting
Jazzercise,4/3/2018,Tu,4:15:00 PM,5:30:00 PM,Gym,Outside Group
Jazzercise,4/3/2018,Tu,5:45:00 PM,7:00:00 PM,Gym,Outside Group
Jazzercise,4/4/2018,We,8:30:00 AM,10:30:00 AM,Gym,Outside Group
Jazzercise,4/4/2018,We,5:45:00 PM,7:00:00 PM,Gym,Outside Group
Choir Practice,4/4/2018,We,6:30:00 PM,8:00:00 PM,Choir Room,Choir Practice
Thursday Connection,4/5/2018,Th,8:00:00 AM,5:00:00 PM,Whole Building,Home School
Jazzercise,4/5/2018,Th,9:00:00 AM,10:00:00 AM,Gym,Outside Group
Jazzercise,4/5/2018,Th,5:45:00 PM,6:45:00 PM,Gym,Outside Group
Jazzercise,4/6/2018,Fr,8:30:00 AM,10:30:00 AM,Gym,Outside Group
Jazzercise,4/7/2018,Sa,8:30:00 AM,10:30:00 AM,Gym,Outside Group
RPC - Worship,4/8/2018,Su,8:30:00 AM,9:45:00 AM,Gym,Worship Service
Sunday School,4/8/2018,Su,9:30:00 AM,10:30:00 AM,Whole Building,Sunday School
Worship Service,4/8/2018,Su,10:45:00 AM,12:15:00 PM,Sanctuary,Worship Service
Jazzercise,4/8/2018,Su,3:30:00 PM,5:00:00 PM,Gym,Outside Group
Jazzercise,4/9/2018,Mo,8:30:00 AM,10:30:00 AM,Gym,Outside Group
Jazzercise,4/9/2018,Mo,4:15:00 PM,5:30:00 PM,Gym,Outside Group
Jazzercise,4/9/2018,Mo,5:45:00 PM,7:00:00 PM,Gym,Outside Group
Bible Study,4/9/2018,Mo,6:30:00 PM,8:00:00 PM,Keene Room,Bible Study
Classical Conversations,4/10/2018,Tu,8:00:00 AM,4:00:00 PM,Whole Building,Home School
Jazzercise,4/10/2018,Tu,8:30:00 AM,10:30:00 AM,Gym,Outside Group
Jazzercise,4/10/2018,Tu,4:15:00 PM,5:30:00 PM,Gym,Outside Group
Jazzercise,4/10/2018,Tu,5:45:00 PM,7:00:00 PM,Gym,Outside Group
Jazzercise,4/11/2018,We,8:30:00 AM,10:30:00 AM,Gym,Outside Group
