Event,Date,Day,Begin,End,Room,Type
Jazzercise,11/11/2018,Su,3:30:00 PM,5:00:00 PM,Gym,Outside Group
Jazzercise,11/12/2018,Mo,8:30:00 AM,10:30:00 AM,Gym,Outside Group
Jazzercise,11/12/2018,Mo,4:15:00 PM,5:30:00 PM,Gym,Outside Group
Jazzercise,11/12/2018,Mo,5:45:00 PM,7:00:00 PM,Gym,Outside Group
Jazzercise,11/13/2018,Tu,8:30:00 AM,10:30:00 AM,Gym,Outside Group
Jazzercise,11/13/2018,Tu,4:15:00 PM,5:30:00 PM,Gym,Outside Group
Jazzercise,11/13/2018,Tu,5:45:00 PM,7:00:00 PM,Gym,Outside Group
Jazzercise,11/14/2018,We,8:30:00 AM,10:30:00 AM,Gym,Outside Group
Jazzercise,11/14/2018,We,5:45:00 PM,7:00:00 PM,Gym,Outside Group
Choir Practice,11/14/2018,We,6:30:00 PM,8:00:00 PM,Choir Room,Choir Practice
Jazzercise,11/16/2018,Fr,8:30:00 AM,10:30:00 AM,Gym,Outside Group
Jazzercise,11/17/2018,Sa,8:30:00 AM,10:30:00 AM,Gym,Outside Group
RPC - Worship,11/18/2018,Su,8:30:00 AM,9:45:00 AM,Gym,Worship Service
Sunday School,11/18/2018,Su,9:30:00 AM,10:30:00 AM,Whole Building,Sunday School
Worship Service,11/18/2018,Su,10:45:00 AM,12:15:00 PM,Sanctuary,Worship Service
Jazzercise,11/18/2018,Su,3:30:00 PM,5:00:00 PM,Gym,Outside Group
Jazzercise,11/19/2018,Mo,8:30:00 AM,10:30:00 AM,Gym,Outside Group
Jazzercise,11/19/2018,Mo,4:15:00 PM,5:30:00 PM,Gym,Outside Group
Jazzercise,11/19/2018,Mo,5:45:00 PM,7:00:00 PM,Gym,Outside Group
Jazzercise,11/20/2018,Tu,8:30:00 AM,10:30:00 AM,Gym,Outside Group
Jazzercise,11/20/2018,Tu,4:15:00 PM,5:30:00 PM,Gym,Outside Group
Jazzercise,11/20/2018,Tu,5:45:00 PM,7:00:00 PM,Gym,Outside Group
